Model,MSE,R²
Random Forest,288.6477576964536,0.955050216667643
K-Nearest Neighbors,475.94466326003646,0.9258833338513992
Decision Tree,621.7554593266848,0.9031768914282199
Gradient Boosting,636.352001771884,0.9009038392294108
Linear Regression,1024.4844821162906,0.8404617591143164
